person_id,age_group,gender,personality_type,mood_score,stress_level,hobbies,favorite_game_genre,favorite_music_genre,fear_tolerance,risk_tolerance,humor_preference,openness_score,romance_interest,social_media_hours_per_day,preferred_language,relationship_status,favorite_season,sleep_pattern,education_level,occupation,income_bracket,preferred_streaming_platform,preferred_watch_time,viewing_companion,snack_preference,preferred_device,preferred_movie_length,favorite_movie_era,exercise_frequency,pet_ownership,streaming_subscription_count,travel_frequency,book_reading_frequency,recommended_movie_genre,age_group_encoded,education_level_encoded,income_bracket_encoded,exercise_frequency_encoded,preferred_movie_length_encoded,travel_frequency_encoded,gender_Female,gender_Male,gender_Non-binary,personality_type_Ambivert,personality_type_Extrovert,personality_type_Introvert,favorite_game_genre_Action,favorite_game_genre_Horror/Survival,favorite_game_genre_Nao_Informado,favorite_game_genre_Puzzle,favorite_game_genre_RPG,favorite_game_genre_Racing,favorite_game_genre_Simulation,favorite_game_genre_Sports,favorite_game_genre_Strategy,favorite_music_genre_Classical,favorite_music_genre_Country,favorite_music_genre_EDM,favorite_music_genre_Hip-Hop,favorite_music_genre_Indie,favorite_music_genre_Jazz,favorite_music_genre_Nao_Informado,favorite_music_genre_Pop,favorite_music_genre_Rock,preferred_language_English,preferred_language_French,preferred_language_Hindi,preferred_language_Japanese,preferred_language_Korean,preferred_language_Spanish,relationship_status_Divorced,relationship_status_In a relationship,relationship_status_Married,relationship_status_Single,favorite_season_Autumn,favorite_season_Spring,favorite_season_Summer,favorite_season_Winter,sleep_pattern_Early Bird,sleep_pattern_Irregular,sleep_pattern_Night Owl,occupation_Business/Finance,occupation_Creative/Arts,occupation_Education,occupation_Engineering,occupation_Healthcare,occupation_Homemaker,occupation_Retail/Service,occupation_Retired,occupation_Software/IT,occupation_Student,occupation_Unemployed,preferred_streaming_platform_Amazon Prime,preferred_streaming_platform_Disney+,preferred_streaming_platform_HBO Max,preferred_streaming_platform_Hulu,preferred_streaming_platform_Local Cinema,preferred_streaming_platform_Netflix,preferred_streaming_platform_YouTube,preferred_watch_time_Afternoon,preferred_watch_time_Evening,preferred_watch_time_Late Night,preferred_watch_time_Morning,viewing_companion_Alone,viewing_companion_With Family,viewing_companion_With Friends,viewing_companion_With Kids,viewing_companion_With Partner,snack_preference_Candy/Sweets,snack_preference_Chips,snack_preference_Healthy Snacks,snack_preference_Nachos,snack_preference_No Snacks,snack_preference_Popcorn,preferred_device_Cinema Screen,preferred_device_Laptop,preferred_device_Projector,preferred_device_Smart TV,preferred_device_Smartphone/Tablet,favorite_movie_era_2000s,favorite_movie_era_2010s,favorite_movie_era_2020s and beyond,favorite_movie_era_80s/90s,favorite_movie_era_Classic (pre-1980),pet_ownership_Has Cat,pet_ownership_Has Dog,pet_ownership_Has Other Pet,pet_ownership_Multiple Pets,pet_ownership_No Pets,book_reading_frequency_1-2 books/month,book_reading_frequency_A few books a year,book_reading_frequency_Avid reader (3+ books/month),book_reading_frequency_Never,book_reading_frequency_Weekly reader,recommended_movie_genre_encoded,hobby_Music,hobby_Reading,hobby_Traveling,hobby_Fitness,hobby_Painting/Art,hobby_Gaming,hobby_Writing,hobby_Sports,hobby_Cooking,hobby_Dancing,hobby_Hiking,hobby_Photography,hobby_Gardening,hobby_Watching TV
12,Young Adult (18-25),Male,Ambivert,3.3,4.9,"Dancing, Gaming",Strategy,Pop,2.8,1.8,10.0,5.8,7.9,2.9,Hindi,Married,Summer,Early Bird,Bachelor's Degree,Software/IT,Middle ($50k-90k),Amazon Prime,Late Night,With Partner,Popcorn,Smart TV,Long (120-160 min),2020s and beyond,Rarely,Has Dog,5,Frequently (weekly/biweekly),Never,Romance,1.0,2.0,2.0,1.0,2.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,Senior (60+),Female,Ambivert,6.9,4.0,Hiking,Action,Rock,9.1,2.4,6.8,3.7,5.7,3.4,English,Single,Winter,Early Bird,Master's Degree,Student,High (>$150k),Hulu,Late Night,With Partner,Popcorn,Laptop,Standard (90-120 min),80s/90s,Rarely,Multiple Pets,3,Once a year,A few books a year,Romance,4.0,3.0,4.0,1.0,1.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Adult (26-40),Male,Ambivert,5.6,4.7,"Sports, Dancing, Photography",RPG,Nao_Informado,4.4,7.4,6.0,8.2,4.1,3.0,Spanish,In a relationship,Winter,Night Owl,Master's Degree,Engineering,Low (<$25k),Disney+,Morning,With Partner,Chips,Smart TV,Epic (160+ min),80s/90s,Never,Has Dog,4,Once a year,A few books a year,Drama,2.0,3.0,0.0,0.0,3.0,1.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,Young Adult (18-25),Male,Introvert,6.2,3.0,Hiking,Strategy,Rock,5.0,7.2,4.6,9.5,3.3,3.5,Hindi,Married,Spring,Early Bird,Bachelor's Degree,Software/IT,High (>$150k),Local Cinema,Late Night,Alone,No Snacks,Smart TV,Long (120-160 min),2010s,Never,Has Dog,2,2-3 times/year,Never,Thriller,1.0,2.0,4.0,0.0,2.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Teen (13-17),Female,Ambivert,7.9,4.7,Music,Simulation,Nao_Informado,3.5,2.4,4.3,9.0,4.0,5.6,French,In a relationship,Summer,Early Bird,Master's Degree,Business/Finance,High (>$150k),Netflix,Evening,With Partner,Chips,Cinema Screen,Long (120-160 min),2010s,Rarely,No Pets,2,Once a year,A few books a year,Documentary,0.0,3.0,4.0,1.0,2.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Adult (26-40),Male,Introvert,4.4,6.4,"Fitness, Watching TV, Writing",Action,Nao_Informado,5.6,4.8,7.8,7.4,8.0,1.1,English,In a relationship,Summer,Early Bird,PhD,Healthcare,Upper-Middle ($90k-150k),Netflix,Late Night,Alone,No Snacks,Laptop,Standard (90-120 min),80s/90s,Rarely,Has Other Pet,1,Frequently (weekly/biweekly),Weekly reader,Drama,2.0,4.0,3.0,1.0,1.0,4.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1
18,Adult (26-40),Female,Extrovert,6.6,6.6,"Gaming, Cooking, Watching TV",Puzzle,Nao_Informado,5.3,2.1,9.9,8.8,3.2,4.0,Spanish,Married,Spring,Night Owl,Master's Degree,Student,Upper-Middle ($90k-150k),Hulu,Evening,With Friends,Candy/Sweets,Laptop,Short (<90 min),2020s and beyond,1-2 times/week,No Pets,4,Frequently (weekly/biweekly),1-2 books/month,Comedy,2.0,3.0,3.0,2.0,0.0,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19,Adult (26-40),Male,Introvert,5.6,5.1,"Dancing, Sports, Painting/Art",Strategy,Pop,4.0,5.2,10.0,5.4,5.0,3.4,Hindi,Single,Winter,Night Owl,Master's Degree,Education,High (>$150k),Disney+,Afternoon,With Partner,No Snacks,Smart TV,Standard (90-120 min),Classic (pre-1980),Daily,No Pets,3,2-3 times/year,Weekly reader,Drama,2.0,3.0,4.0,4.0,1.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0
20,Adult (26-40),Female,Extrovert,6.2,4.0,"Cooking, Hiking, Gaming",Simulation,Hip-Hop,4.9,6.7,6.3,2.0,6.1,4.6,Hindi,In a relationship,Autumn,Night Owl,Master's Degree,Retired,Lower-Middle ($25k-50k),Amazon Prime,Evening,With Partner,No Snacks,Smartphone/Tablet,Standard (90-120 min),2010s,3-5 times/week,Has Dog,3,Once a year,Never,Thriller,2.0,3.0,1.0,3.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0
21,Senior (60+),Female,Extrovert,8.6,5.1,Music,RPG,Pop,4.4,5.0,3.0,1.9,4.8,1.1,French,Married,Summer,Night Owl,Master's Degree,Student,Middle ($50k-90k),Amazon Prime,Afternoon,With Friends,No Snacks,Smart TV,Standard (90-120 min),80s/90s,Rarely,Has Cat,2,Frequently (weekly/biweekly),Never,Thriller,4.0,3.0,2.0,1.0,1.0,4.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Young Adult (18-25),Female,Ambivert,6.9,5.3,"Writing, Photography, Gaming",Action,Nao_Informado,3.6,1.0,6.0,5.3,7.8,2.2,Hindi,Married,Autumn,Irregular,Bachelor's Degree,Software/IT,Lower-Middle ($25k-50k),Netflix,Evening,With Friends,Popcorn,Smart TV,Short (<90 min),2010s,3-5 times/week,Has Dog,2,Once a year,Weekly reader,Drama,1.0,2.0,1.0,3.0,0.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0
23,Adult (26-40),Female,Ambivert,3.8,5.8,"Hiking, Painting/Art",Strategy,Rock,3.1,6.7,6.9,5.7,4.0,2.5,French,Married,Spring,Irregular,Bachelor's Degree,Student,Low (<$25k),Hulu,Evening,Alone,Healthy Snacks,Smartphone/Tablet,Standard (90-120 min),80s/90s,3-5 times/week,Has Cat,3,Never,A few books a year,Action,2.0,2.0,0.0,3.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,Adult (26-40),Male,Extrovert,5.7,7.7,"Hiking, Reading, Gaming",Sports,EDM,1.9,3.5,5.3,5.1,1.0,1.5,English,Single,Spring,Irregular,Master's Degree,Retired,Middle ($50k-90k),Netflix,Late Night,Alone,Popcorn,Smart TV,Standard (90-120 min),2010s,3-5 times/week,Has Dog,2,Once a year,Never,Drama,2.0,3.0,2.0,3.0,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0
